file_name,emiten_code,year,page_number,classification,extraction_method,raw_text_length,ocr_text_length,final_text_length,image_count,image_coverage_ratio,ocr_input_tokens,ocr_output_tokens,processing_time_ms,error
MBSS_2024.pdf,MBSS,2024,2,image,gemini_ocr,0,3561,3561,1,1.0,1129,821,4873,
MCOL_2022.pdf,MCOL,2022,1,text,pymupdf,4072,0,4072,1,0.0254,0,0,3,
MCOL_2022.pdf,MCOL,2022,2,text,pymupdf,2755,0,2755,1,0.0254,0,0,2,
MCOL_2022.pdf,MCOL,2022,3,text,pymupdf,3420,0,3420,1,0.0254,0,0,2,
MBTO_2022.pdf,MBTO,2022,1,image,gemini_ocr,0,4723,4723,1,2.0386,1129,1052,7825,
MBTO_2022.pdf,MBTO,2022,2,image,gemini_ocr,0,3897,3897,1,2.0502,1129,845,5824,
MCAS_2023.pdf,MCAS,2023,1,image,gemini_ocr,186,4013,4013,41,0.996,1129,845,7510,
MCAS_2024.pdf,MCAS,2024,1,image,gemini_ocr,0,3081,3081,5,1.604,1129,667,4661,
MCAS_2024.pdf,MCAS,2024,2,image,gemini_ocr,0,3249,3249,12,1.423,1129,595,4351,
MCOR_2023.pdf,MCOR,2023,1,text,pymupdf,3634,0,3634,1,0.0423,0,0,15,
MCOR_2023.pdf,MCOR,2023,2,text,pymupdf,3469,0,3469,1,0.0423,0,0,5,
MCOR_2022.pdf,MCOR,2022,1,text,pymupdf,3707,0,3707,1,0.1113,0,0,13,
MCOR_2022.pdf,MCOR,2022,2,text,pymupdf,3331,0,3331,1,0.1113,0,0,5,
MCOR_2024.pdf,MCOR,2024,1,text,pymupdf,2525,0,2525,1,0.0149,0,0,4,
MCOR_2024.pdf,MCOR,2024,2,text,pymupdf,2543,0,2543,1,0.0149,0,0,4,
MDIA_2023.pdf,MDIA,2023,1,image,gemini_ocr,0,2881,2881,1,1.0,1129,713,5408,
MDIY_2024.pdf,MDIY,2024,1,text,pymupdf,4358,0,4358,1,0.0047,0,0,4,
