file_name,emiten_code,year,status,error_message,total_pages,text_pages,image_pages,ocr_pages,direct_extract_pages,total_extracted_chars,ocr_input_tokens,ocr_output_tokens,ocr_estimated_cost_usd,processing_time_seconds,timestamp_processed
AGRS_2024.pdf,AGRS,2024,success,,2,0,2,2,0,8472,2258,1781,0.003236,11.85,2026-03-14T17:58:31.760517
AHAP_2022.pdf,AHAP,2022,success,,3,0,3,3,0,21201,3387,4471,0.00755325,21.54,2026-03-14T17:58:42.709638
AHAP_2023.pdf,AHAP,2023,success,,3,0,3,3,0,13372,3387,2945,0.00526425,22.48,2026-03-14T17:58:49.340147
AISA_2022.pdf,AISA,2022,success,,2,2,0,0,2,6363,0,0,0.0,0.7,2026-03-14T17:58:50.064606
AISA_2023.pdf,AISA,2023,success,,2,2,0,0,2,6247,0,0,0.0,0.69,2026-03-14T17:58:50.067007
AISA_2024.pdf,AISA,2024,success,,2,2,0,0,2,6219,0,0,0.0,0.36,2026-03-14T17:58:50.432133
AKKU_2023.pdf,AKKU,2023,success,,1,0,1,1,0,5577,1129,1183,0.00205675,7.42,2026-03-14T17:58:58.186222
AIMS_2023.pdf,AIMS,2023,success,,2,0,2,2,0,9293,2258,2021,0.003596,12.57,2026-03-14T17:59:01.933766
AHAP_2024.pdf,AHAP,2024,success,,2,0,2,2,0,10188,2258,2202,0.0038675,12.9,2026-03-14T17:59:02.259922
AKKU_2024.pdf,AKKU,2024,success,,1,0,1,1,0,5576,1129,1182,0.00205525,5.68,2026-03-14T17:59:03.869947
AKPI_2024.pdf,AKPI,2024,success,,3,3,0,0,3,8656,0,0,0.0,0.03,2026-03-14T17:59:03.897369
AKRA_2022.pdf,AKRA,2022,success,,3,3,0,0,3,9799,0,0,0.0,0.47,2026-03-14T17:59:04.366570
AKRA_2023.pdf,AKRA,2023,success,,3,3,0,0,3,9791,0,0,0.0,0.03,2026-03-14T17:59:04.397668
AKRA_2024.pdf,AKRA,2024,success,,3,3,0,0,3,9797,0,0,0.0,0.03,2026-03-14T17:59:04.429430
AKKU_2022.pdf,AKKU,2022,success,,2,0,2,2,0,6410,2258,1409,0.002678,20.73,2026-03-14T17:59:10.824626
AKPI_2022.pdf,AKPI,2022,success,,2,0,2,2,0,9080,2258,1826,0.0033035,10.66,2026-03-14T17:59:12.592676
AKSI_2024.pdf,AKSI,2024,success,,2,2,0,0,2,8168,0,0,0.0,0.1,2026-03-14T17:59:12.691285
AKSI_2022.pdf,AKSI,2022,success,,2,0,2,2,0,8192,2258,1885,0.003392,9.69,2026-03-14T17:59:14.117867
AKPI_2023.pdf,AKPI,2023,success,,3,0,3,3,0,8924,3387,2079,0.00396525,13.58,2026-03-14T17:59:15.842243
ALDO_2024.pdf,ALDO,2024,success,,2,2,0,0,2,9278,0,0,0.0,0.22,2026-03-14T17:59:16.065059
ALDO_2022.pdf,ALDO,2022,success,,1,0,1,1,0,4855,1129,1065,0.00187975,7.66,2026-03-14T17:59:20.351214
ALII_2023.pdf,ALII,2023,success,,1,0,1,1,0,4213,1129,828,0.00152425,4.78,2026-03-14T17:59:20.844020
ALDO_2023.pdf,ALDO,2023,success,,2,0,2,2,0,8974,2258,2034,0.0036155,10.44,2026-03-14T17:59:24.563033
AKSI_2023.pdf,AKSI,2023,success,,2,0,2,2,0,6926,2258,1509,0.002828,14.34,2026-03-14T17:59:25.167693
ALII_2024.pdf,ALII,2024,success,,1,0,1,1,0,4243,1129,849,0.00155575,5.3,2026-03-14T17:59:25.648376
ALMI_2022.pdf,ALMI,2022,success,,1,0,1,1,0,2975,1129,729,0.00137575,5.35,2026-03-14T17:59:30.996721
ALKA_2022.pdf,ALKA,2022,success,,2,0,2,2,0,10696,2258,2400,0.0041645,16.61,2026-03-14T17:59:37.451621
ALKA_2023.pdf,ALKA,2023,success,,2,0,2,2,0,11395,2258,2463,0.004259,14.64,2026-03-14T17:59:39.201423
ALMI_2023.pdf,ALMI,2023,success,,2,0,2,2,0,6081,2258,1465,0.002762,8.84,2026-03-14T17:59:39.835144
ALKA_2024.pdf,ALKA,2024,success,,2,0,2,2,0,11254,2258,2554,0.0043955,15.92,2026-03-14T17:59:41.088523
AMAG_2022.pdf,AMAG,2022,success,,1,0,1,1,0,4982,1129,992,0.00177025,7.93,2026-03-14T17:59:49.020269
ALTO_2022.pdf,ALTO,2022,success,,2,0,2,2,0,7754,2258,1741,0.003176,11.47,2026-03-14T17:59:50.674236
ALMI_2024.pdf,ALMI,2024,success,,3,0,3,3,0,8139,3387,1860,0.00363675,13.47,2026-03-14T17:59:50.923039
AMAG_2023.pdf,AMAG,2023,success,,1,0,1,1,0,5045,1129,998,0.00177925,6.08,2026-03-14T17:59:55.096531
ALTO_2023.pdf,ALTO,2023,success,,3,0,3,3,0,12299,3387,2813,0.00506625,17.38,2026-03-14T17:59:57.214210
AMAG_2024.pdf,AMAG,2024,success,,1,0,1,1,0,4846,1129,951,0.00170875,6.54,2026-03-14T17:59:57.216773
AMAR_2022.pdf,AMAR,2022,success,,2,2,0,0,2,6384,0,0,0.0,0.05,2026-03-14T17:59:57.498631
